점검시행일자,점검종료일자,점검진단결과등급,점검진단결과내용,손상요약내용,조치요약내용,긴급보수도,붕괴유발부재여부,시설물명,안전성평가등급,,
1998-04-27,1998-04-27,C,"
상부의 토사퇴적,박스내부의 도장 박리와 부식등이 조사되었으나, 전체적인 상태는 양호하다.","토사퇴적,박리",주의관찰,B,N,신대교,A,,
1999-06-17,1999-06-17,C,,,,B,N,신대교,A,,
2000-12-12,2000-12-12,B,,,,B,N,신대교,A,,
2001-03-01,2001-03-01,C,"본 교량에 대한 점검결과 사용성, 내구성에 특별한 문제가 없는 양호한 상태로 평가된다. 향후 지속적인 유지관리를 실시함으로써 본교량의 공용성은 더욱 향상될 것이다.",양호,,B,N,신대교,A,,
2001-12-11,2001-12-11,B,,,,B,N,신대교,A,,
2002-11-12,2002-11-12,B,,,,B,N,신대교,A,,
1999-11-25,1999-11-25,B,,,,B,N,번천1교,A,,
1999-11-15,1999-11-15,B,,,,A,N,굴포교(하),A,,
2000-12-01,2000-12-01,B,,,,A,N,송문2교,A,,
2003-11-19,2003-11-19,B,양호,양호,,A,N,풍계교,A,,
2001-12-07,2001-12-07,B,양호,양호,,A,N,태평교,A,,
2003-12-03,2003-12-03,B,양호,양호,,C,N,구양교,A,,
2002-11-15,2002-11-15,B,,,,A,N,풍계교,A,,
2003-12-01,2003-12-01,B,,,,A,N,풍계교,A,,
2000-12-04,2000-12-04,B,,,,A,N,신원교,A,,
1996-12-01,1996-12-01,B,"교대1번 신축이음장치 및 후타재 파손
슬래브 포장면 횡균열
교대2번 신축이음장치 및 후타재 파손
슈전체척으로 작동불량
","파손,균열",보수요망,C,N,송전2교,A,,
2003-11-29,2003-11-29,B,,,,A,N,송전2교,A,,
2001-12-17,2001-12-17,B,,,,A,N,천리2교,A,,
2002-11-13,2002-11-13,B,,,,A,N,천리2교,A,,
1999-05-31,1999-05-31,B,,,,B,N,추계1교,A,,
1998-04-28,1998-04-28,B,,,,B,N,오천교,A,,
1999-11-15,1999-11-15,B,,,,A,N,오천교,A,,
2000-12-06,2000-12-06,B,,,,A,N,오천교,A,,
2001-12-06,2001-12-06,B,,,,A,N,오천교,A,,
2000-12-01,2000-12-01,B,,,,C,N,송전1교,A,,
1998-06-10,1998-06-10,B,대체적으로 양호,양호,,B,N,마전2교,A,,
1998-06-10,1998-06-10,B,대체적으로 양호,양호,,B,N,중마교,A,,
1998-06-10,1998-06-10,B,대체적으로 양호,양호,,B,N,죽산육교,A,,
1999-11-19,1999-11-19,B,양호,양호,,A,N,두원육교,A,,
2002-11-14,2002-11-14,B,,,,C,N,문형육교,A,,
1997-11-01,1997-11-01,B,,,,B,N,해창교*,A,,
